2021-03-04 16:51:17,168 [main] INFO  ? (?:?) - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2021-03-04 16:51:19,092 [DubboShutdownHook] INFO  com.alibaba.dubbo.config.AbstractConfig$1 (AbstractConfig.java:81) -  [DUBBO] Run shutdown hook now., dubbo version: 2.6.2, current host: 192.168.6.1
2021-03-04 16:51:19,094 [DubboShutdownHook] INFO  com.alibaba.dubbo.registry.support.AbstractRegistryFactory (AbstractRegistryFactory.java:64) -  [DUBBO] Close all registries [], dubbo version: 2.6.2, current host: 192.168.6.1
2021-03-04 16:53:54,508 [main] INFO  ? (?:?) - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2021-03-04 16:54:05,813 [localhost-startStop-1] INFO  com.alibaba.dubbo.config.ReferenceConfig (ReferenceConfig.java:425) -  [DUBBO] Refer dubbo service com.alibaba.dubbo.registry.RegistryService from url zookeeper://192.168.7.1:2181/com.alibaba.dubbo.registry.RegistryService?application=dubbo-admin&dubbo=2.6.2&pid=26056&refer=application%3Ddubbo-admin%26check%3Dfalse%26dubbo%3D2.6.2%26interface%3Dcom.alibaba.dubbo.registry.RegistryService%26methods%3Dlookup%2Csubscribe%2Cunsubscribe%2Cunregister%2Cregister%26pid%3D26056%26register.ip%3D192.168.6.1%26revision%3D2.6.2%26side%3Dconsumer%26timestamp%3D1614848036451&timestamp=1614848036498, dubbo version: 2.6.2, current host: 192.168.6.1
2021-03-04 16:54:05,922 [localhost-startStop-1] INFO  com.alibaba.dubboadmin.governance.sync.RegistryServerSync (RegistryServerSync.java:78) -  [DUBBO] Init Dubbo Admin Sync Cache..., dubbo version: 2.6.2, current host: 192.168.6.1
2021-03-04 16:54:05,932 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.6.1?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=*&version=*, dubbo version: 2.6.2, current host: 192.168.6.1
2021-03-04 16:54:08,187 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.6.1/com.xyy.saas.medicare.servicepack.apiresource.api.IMedicareApiResourceApi?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.medicare.servicepack.apiresource.api.IMedicareApiResourceApi&version=*, dubbo version: 2.6.2, current host: 192.168.6.1
2021-03-04 16:54:08,250 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.6.1/com.xyy.saas.medicare.servicepack.apiresource.api.IMedicareApiResourceApi?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.medicare.servicepack.apiresource.api.IMedicareApiResourceApi&version=*, urls: [empty://192.168.6.1/com.xyy.saas.medicare.servicepack.apiresource.api.IMedicareApiResourceApi?category=providers&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.medicare.servicepack.apiresource.api.IMedicareApiResourceApi&version=*, empty://192.168.6.1/com.xyy.saas.medicare.servicepack.apiresource.api.IMedicareApiResourceApi?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.medicare.servicepack.apiresource.api.IMedicareApiResourceApi&version=*, empty://192.168.6.1/com.xyy.saas.medicare.servicepack.apiresource.api.IMedicareApiResourceApi?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.medicare.servicepack.apiresource.api.IMedicareApiResourceApi&version=*, empty://192.168.6.1/com.xyy.saas.medicare.servicepack.apiresource.api.IMedicareApiResourceApi?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.medicare.servicepack.apiresource.api.IMedicareApiResourceApi&version=*], dubbo version: 2.6.2, current host: 192.168.6.1
2021-03-04 16:54:08,252 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.6.1/com.xyy.saas.medicare.payment.visit.api.IMedicarePaymentDataSyncApi?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.medicare.payment.visit.api.IMedicarePaymentDataSyncApi&version=*, dubbo version: 2.6.2, current host: 192.168.6.1
2021-03-04 16:54:08,385 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.6.1/com.xyy.saas.medicare.payment.visit.api.IMedicarePaymentDataSyncApi?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.medicare.payment.visit.api.IMedicarePaymentDataSyncApi&version=*, urls: [empty://192.168.6.1/com.xyy.saas.medicare.payment.visit.api.IMedicarePaymentDataSyncApi?category=providers&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.medicare.payment.visit.api.IMedicarePaymentDataSyncApi&version=*, empty://192.168.6.1/com.xyy.saas.medicare.payment.visit.api.IMedicarePaymentDataSyncApi?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.medicare.payment.visit.api.IMedicarePaymentDataSyncApi&version=*, empty://192.168.6.1/com.xyy.saas.medicare.payment.visit.api.IMedicarePaymentDataSyncApi?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.medicare.payment.visit.api.IMedicarePaymentDataSyncApi&version=*, empty://192.168.6.1/com.xyy.saas.medicare.payment.visit.api.IMedicarePaymentDataSyncApi?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.medicare.payment.visit.api.IMedicarePaymentDataSyncApi&version=*], dubbo version: 2.6.2, current host: 192.168.6.1
2021-03-04 16:54:08,386 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.6.1/com.xyy.saas.medicare.merchant.api.IMerchantOpenInfoApi?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.medicare.merchant.api.IMerchantOpenInfoApi&version=*, dubbo version: 2.6.2, current host: 192.168.6.1
2021-03-04 16:54:08,510 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:387) -  [DUBBO] Notify urls for subscribe url admin://192.168.6.1/com.xyy.saas.medicare.merchant.api.IMerchantOpenInfoApi?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.medicare.merchant.api.IMerchantOpenInfoApi&version=*, urls: [empty://192.168.6.1/com.xyy.saas.medicare.merchant.api.IMerchantOpenInfoApi?category=providers&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.medicare.merchant.api.IMerchantOpenInfoApi&version=*, empty://192.168.6.1/com.xyy.saas.medicare.merchant.api.IMerchantOpenInfoApi?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.medicare.merchant.api.IMerchantOpenInfoApi&version=*, empty://192.168.6.1/com.xyy.saas.medicare.merchant.api.IMerchantOpenInfoApi?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.medicare.merchant.api.IMerchantOpenInfoApi&version=*, empty://192.168.6.1/com.xyy.saas.medicare.merchant.api.IMerchantOpenInfoApi?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.saas.medicare.merchant.api.IMerchantOpenInfoApi&version=*], dubbo version: 2.6.2, current host: 192.168.6.1
2021-03-04 16:54:08,511 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.6.1/com.xyy.me.product.medicalinsurance.api.facade.MedicalInsuranceFacade?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.xyy.me.product.medicalinsurance.api.facade.MedicalInsuranceFacade&version=*, dubbo version: 2.6.2, current host: 192.168.6.1
